,reviewText,sentiment,pred
26,"If you love Jo Dee Messina- buy this cd.  Simply for the fact that it's new music from her and she is a fantastic singer and artist.  As a stand alone cd, it's not bad.  Probably the weakest of the ""Unmistakable"" trilogy in my opinion, but still with some good points.  ""Heaven was Needing a Hero"" and ""Get up Again"" are both great songs, with ""Get Up Again"" a throwback to an ""I'm Alright"" life is good anthem song. ""I like Me"" has promise but it's a bit all over the place.  ""How do you get High"" isn't as scandalous as it sounds, in fact, it really doesn't say anything as a song.  People get their fixes from different places.  Okay.  So..... ""Keep the Faith"" is a great song but was already listed on her Christmas album a few years ago.  ""That's God"" is well-written but not a radio hit.  As a whole, not a bad cd, but nothing you want to sing out loud and jam to in the car.  But new music from Jo Dee Messina after waiting for five years is truly priceless....",0,1.0
27,"This CD brought back lots of good memories of the music of 60's & 70's. It has the hits that made Los Rancheritos famous, songs to sing to and music to enjoy. If you like this kind of music, then you'll enjoy the 60 Exitos, I know I do! Thanks Juani",1,1.0
28,"Disturbing sound.  If I had listened to a preview, I would never have bought it.",0,0.0
29,"In My opinion Coko has made the transition from secular music to gospel , I love this song .",1,1.0
30,This is heartwarming entertainment,1,0.0
31,"A Friend of Mine got me Hooked on this Song
I love It!!
Best Sick Puppies Song Ever!!
You gotta hear it!!",1,1.0
32,"I like it but then I never wanted to hear it again, just got so old right away!",0,0.0
33,I prefer TAL episodes that are both entertaining and informative.  This one was just a little too fluffy for me.  Not enough meat there.,0,0.0
34,It really got me.,1,1.0
35,Some of U-Roy's best toasts plus dubs by the master King Tubby. This album is a no-brainer.,1,1.0
36,There is too much yelling.,0,0.0
37,"I bought this digital download (I would rather have a physical CD!) because I love some of Joe Hisaishi's music from watching a few of Miyazaki's cartoons.  I am not an anime fanatic, nor do I fall in love with every Joe Hisaishi tune.  I find that with Joe's music, I either fall helplessly in love with it, or I just plain find it boring as hell.  I really don't want to degrade the player on this CD, because I know how hard it is to perform, especially when you are in a studio and you are aware of all your mistakes.  This player is good, plays all the right notes.  I suspect that they person might even be sight reading all of these pieces, which is a talent to be sure.  Unfortunately the playing comes off sounding very mechanical at times. Either way, there are some real gems on this album.  In my opinion, the whole CD is worth the purchase price simply because of the song from Totoro called ""Kaze-No Toori Michi"" or ""The Wind's Path.""  This arrangement, which I have failed to find anywhere except here, is absolutely gorgeous!!  Whoever arranged this is simply brilliant!  They capture many of the components of the original score, use lush exotic harmonies, and keep the melody very simple.  The introductory repetitive left hand passage keeps the piece moving giving it an undercurrent of longing, sadness, or maybe just expressing the unbiased non-emotional qualities of nature and the wind?  I don't know, but it reminds me of what a progressive rock keyboardist might do with it like Keith Emerson, or Eddie Jobson.  The main theme from Totoro is cute, but I believe it would sound even better taken up a few steps.  It's played without the happy qualities that it should be played with, and again, very mechanical.  Regardless, I did give it 5 stars because it has many redeeming qualities.",1,0.0
38,"Beautiful soundtrack. Great for background music during activities like office work, homework, yoga, etc.",1,1.0
39,Love the album.,1,1.0
40,"A decent album, somewhat mediocre. Nothing special really stood out, they may be good live. Also reminds me of Sheryl crow. Not great, not bad, not memorable. You might really like it if you're not exposed to much music, maybe buyers of 2 CDs a year.",0,0.0
41,"I bought ZERO because I loved the Taller Children album and the MP3 download was only $5.
Sampled the songs and wasn't impressed but I thought that after I listened a little more it would grow on me. Nope.
Basically the album is boring/monotonous. Her voice is still wonderful but stays within a narrow range. The music is also uninspired.
I miss the playfulness of Taller Children, the chills that Right Next To You created.",0,0.0
42,It is just so lovely!,1,1.0
43,"It's nice that the author is the reader. Sounds like he's just talked no about what he knows. So, it comes across more as a class rather than a book.",1,1.0
44,NICE!,1,1.0
45,Beautiful music.,1,1.0
46,"From the arrangements to the playing to the sound- one of the finest releases in the last 10 years IMHO. From 1,000's of CD's, this is one that holds one's interest with repeated listenings.",1,0.0
47,"I find new songs and old ones I've forgotten about for hooping and jumping by listening to Pandora. This is one that I never heard before a few days ago; it grabbed me immediately and I knew I wanted to hoop to it. So for either listening or exercise, this is a great song.

If you're interested in my hooping and jumping videos, search for QFEGuy on youtube, and I have a blog. You can also search for  ""Quest For Endorphins"". Nothing is for sale - I'm trying to demonstrate the shape you can be in and how much fun you can have exercising when you're 66; 67 in a few days.",1,1.0
48,Ira and the crowd - what more need I say?,1,1.0
49,Never got it!,0,1.0
50,This is a pretty song. We needed this for our wedding. MP3 was clear and easy to download. Good song.,1,1.0
51,"Human touch and other songs, sung by a great artist.  You will enjoy this artist songs as you chill or have a romantic moment with your special person.",1,1.0
52,"This is another great song by Kem.  I find myself listening to this song over and over again and singling along to it.  I am so happy I purchased this one.  I have all the others, as well.",1,1.0
53,great,1,1.0
54,"This is a killer live recording.  From ""nothin to lose"" to ""burning up"" Rocks from start to finish. Thanks for 34 years of joy.",1,1.0
55,Beautiful !!!!!!!!,1,1.0
56,Love this song!,1,1.0
57,Great song,1,1.0
58,This works great in a spoof of a horse throwing it's long mane around.  The song is so awful it's hysterical.,0,1.0
59,It is one of the most beautiful pieces of music I have encountered in a long time. The music is well put togather if you need rest and relation this is a cd to do just that .,1,1.0
60,"I thought the quality suffered on this one, I would not advise a purchase unless you are a diehard fan, then go for it, you probably won't even notice the digital issues",0,0.0
61,all sounds good,1,1.0
62,what does it mean to be in the middle of nowhere? What constitutes 'somewhere'? First world pondering.,1,0.0
63,"The product description is not definitive as to what you are getting. The price, $8.98, implies a full album. I ordered it and got a single. I intend to ask for a refund.",0,0.0
64,"It says explicit, but I didn't hear any cursing at all. This song rocks HARD. Loved it.",1,0.0
65,As far as bands go these days this is one band I find very good for the mainstream market. I usually like melodic progressive metal over the commercialized rock these days but this band is a crossover. It pleases the melodic heavy music lover on both sides. Great stuff!,1,0.0
66,"I'm a huge fan of Love and Light and what they stand for.  Although this is not my favorite selection of tracks, I still will listen to it and enjoy what it is...a good grooving pure sound.",1,1.0
67,Great,1,1.0
68,"Was hoping it was the song from the movie. Whatever this is, sucks!",0,0.0
69,"WOW I LOVE Lee's song ""Sweet Serendipity""...amazing, beautiful, awesome! I can not stop listening to this song, my face is smiling and my feet and heart are dancing!!!  Yes I was surprised when I first heard this song because its so different from his previous CD's and songs from American Idol (Lee is my ALL time favorite Idol).  WOW I love and adore this ""New"" Lee...I can not wait for his new Album ""Live It Up""...if this song is any indication to what is on his album I know it will be a great success. I am looking forward to following Lee's career and new music for many years to come.  Congratulations Lee you are such an amazing and talented performer and person...you hit it big! You deserve it and should be extremely proud...Enjoy!",1,1.0
70,"Gifted writer, poet, vocalist who includes Malidoma Some along with Mandela and King in the same poem.
I admire that he repeats his poem several times during each presentation.
Powerful images!",1,1.0
71,"I am open minded and found different interpretations of the bible entertaining to listen to however, it may offend some people. The story telling, journalism and reporting is excellent. If your not easily offended by alternative points of view about the bible I would recommend it.",1,0.0
72,What songs are on this disk? There are a few songs I'm after most are on Magic Morning Show Raw but there are other songs I want that aren't on it.,0,0.0
73,Love this soundtrack. Have it on CD but wanted it for my mp3 player.,1,1.0
74,"Needtobreathe is always great, but I think these songs done live are some of their best work. Always original and unique, Needtobreathe fans will love this!",1,1.0
75,"I was watching a tv series on DVD that I thoroughly enjoy (Life) and the background music for one of the episodes began to haunt me.  I caught part of a phrase in the song that went, ""breathe through it all, don't forget to smile when you fall.""
And searching for that phrase led me, without further ado, to the album, ""Game Called Life"" by Leftover Cuties.  Then it was a snap to find the album for sale in digital form at Amazon.com and purchased and downloaded it.  It's their own brand of jazz and I love it.  Makes me imagine the prohibition days and the charleston days.  And a cover of a Lady Gaga song!  With Leftover Cuties I've been enchanted and captivated by a female vocalist that breathed new life into songs like You Are My Sunshine and the very talented musicians that together form this incredible band.  Give it a preview, odds are you'll love it!",1,1.0
76,"This is not really reggae and should never come up in a search for reggae mixes, would be upset if it wasn't so cheap.",0,0.0
77,This is one of the best instrumental songs around. Very nice and chill music.,1,1.0
78,This song is perhaps the most annoying peice of sh*t I have ever heard!,0,1.0
79,This song is perhaps the most annoying peice of sh*t I have ever heard!,0,1.0
80,Perfect!  Thank you!,1,1.0
81,Hilarious!,1,1.0
82,Joe satriani is such a great guitarist a must have for any rocker,1,1.0
83,"Received this Audio CD as a gift and for the most part it's great, but I do have a small issue with a few tracks.  There seems to be a 300Hz beep/tone every 45 seconds on ""Is There Love In Space?"" and ""Super Colossal"".  This sound is audible on various different CD players too.  I have verified that the sound is NOT present on the same tracks from other sources.  Not sure what to make of this glitch?",0,0.0
84,"I guess I was expecting something different based on what I hear from him on the airwaves. Thiis collection of songs is chosen by Satriani as a sample of his favorites. To me a lot of it sounds the same. He is obviously a virtuoso guitar player, but the sound gets redundant. Lots of music here.",0,0.0
85,This has to be one the worst recordings of Roberto Yanez. It is hard to tell how much is cased by the recording set up or just simply a bad choice of the intrument used.,0,0.0
86,"Macklemore is one of those artists that just takes your breath away, fresh, fun and heartfelt. Great music.",1,1.0
87,Original was better in my opinion. The remix just isn't what I think of when I think of Irish music.,0,0.0
88,"this remix is terrible...  Heard the original and loved it, this is just bad...  Really bummed as I love the music and the song but just couldn't do this.",0,0.0
89,As the title says this is just an annoying remix in my opinion. Couldnt find the original on amazon and was forced to the get the orignal a different way.,0,0.0
90,Did not realize this was a remix version.  The original is better than the remix.  Love Macklemore and Ryan Lewis though!,0,0.0
91,Love the son but I download ad it and can't find it so I had to go to play store on my phone and download a music downloader,0,1.0
92,"It's hard to find hip hop artists that have substance, but these guys tell a great story and make it hard to turn them off. I predict greater things in their future to accompany their current accomplishments.",1,1.0
93,Good album,0,1.0
94,The entire last two discs are devoted to nothing but dumb musical cues which sound like porno movie music or cheap TV movie music. Want full refund on this item.,0,0.0
95,"I have heard better recordings of this song.  Try this one ""Stay with me"" another great Jose song.",0,1.0
96,"What an amazing song from Cooper Boone!  It really puts things into perspective and I play it often to remind myself that life surely can change in an instant.  No matter what genre of music you enjoy, this is a must for your music library.",1,1.0
97,"One of my favorite pieces that I've heard in a long time. I love how it's dynamic and alive, yet soulful and wistful. It's both sad and hopeful, and you can truly feel the emotion behind the music. What a beautiful tribute!",1,1.0
98,From the very best,1,1.0
99,"I love Erin O'Donnell's music and this arrangement. It is so peaceful, and relaxing to listen to it....great music not only for Christmas.",1,1.0
100,"This is not the actual soundtrack. The audio quality is very poor and each track is only small portions of each song. I was the most disappointed with Track 11 (From This Moment On), the main reason I wanted to purchase this album. The carefully/deviously cut the instrumental portions of the song where there is not singing...only dancing in the film...which is some of the greatest music of the entire song. All that to say, an originally 6 minute song turned into a 2:36 song. Such a huge disappointment.",0,0.0
101,Great stories!!!  I have to listen.....it's addictive!,1,1.0
102,"This is a very catchy and inspirational tune on what it means to be self-reliant. I remember the song when it first came out because it was being promoted for the newer version of the Charlie's Angels Movie (Charlie's angels is even quoted in the song). I like the positive theme to the song about learning to always be independent in all areas of your life, and of it being 50/50 in relationships. The song sends a positive message to avoid depending on others to give you what you want, and to instead find ways to obtain your desires through your own means (the group cleverly does this by using lyrics such as ""the shoes on my feet, I bought it"", and with mentioning how they even paid for the place they live in). This is also a good song to listen to for putting oneself in a prosperous state of mind.  Overall, this is definitely a song to listen to if you like any of Beyonce's songs and/or any music from Destiny's Child.",1,0.0
103,"I'm disappointed with my purchase because I was looking to buy the original song by the Carpenters,  but Amazon blocks music to non unlimited music members. What a bummer!",0,1.0
104,"Not a tribute to the Carpenters, terrible.",0,0.0
105,"I love this song from the movie, but after I got it, it stops playing before the music is finished.  I'm not very happy about that.  That's the only
reason I gave it one star.  It would be 5 stars if I could hear the whole thing!!",0,1.0
106,"Not a fan of ""country"" rap.",0,0.0
107,Sorry ... I didn't read the part where it said Tribute album. Guess it was my fault and poor eyesite.,0,0.0
108,Just my preference-nothing will replace the original.,0,0.0
109,its fake!,0,1.0
110,Not happy with this one. It's my bad because I didn't listen to any of it before I bought it. It's not the Carpenters singing. If I could return it I would.,0,0.0
111,"Not the carpenters.... Not even close....  Be careful not to get lured to this link when looking for Carpenters greatest hits....

You will be sorely dissappointed....  appears to be no way to return to Amazon...  Not good.",0,0.0
112,I thought it was a REAL Carpenters album. They try hard.... But there's no mistaking Karen Carpenter. It would have been better if they hadn't tried.,0,0.0
113,NOT the Carpenters... not even close to being the Carpenters.,0,0.0
114,"If I could give this hunk of crap less than one star, I would!! TOTALLY misleading title! DO NOT PURCHASE!! NOT THE CARPENTERS!!",0,0.0
115,"Only listened to the first few bars when I realized this was a knock-off of the Carpenters. While searching for the album this appeared first on the list from Amazon and the album art prominently displays THE CARPENTERS greatest hits while I did not notice The Poppers recorded it. IMO it should be refundable. Too late, already purchased.",0,0.0
116,"This enormous set (66 rockin' tunes) covers a wide range of music styles - from blues to country to rockabilly to rock.  You can tell that Sam Phillips, Sun Records founder and engineer, was still developing the ""Sun sound"" and had not perfected it yet as heard in later Sun recordings.  You'll find a couple of the tracks sound like field recordings done on location.  Nevertheless, the performances are way cool and the energy is there.  I played this record during a long car ride and it was an excellent way to make the miles go by.  Very cool.",1,0.0
117,There will never again be a Sun Records sound! EVER! These recordings are highly rare and should be listend to with great respect! To all who don't like this kind of music-----just rememmber this! That Rock n Roll music thet you all listen to was born at Sun Records!,1,0.0
118,"All instrumental. It's fast paced, fun, and enjoyable to listen to. Great background music for working, running RPGs with a spy theme, or driving.",1,1.0
119,"Item delivered on time, and was as described.",1,1.0
120,"This is the version of the classic Yiddish tune that everyone on the borscht circuit is emulating. Also, his voice is in a lower register than most modern day singers, reflecting the styles of the time.",1,1.0
121,works great!,1,1.0
122,love it fast shipping,1,1.0
123,Fun at first. Then devolves into gibberish. Being at The Cotton Club in the roaring 20's would have been all time epic tho.,0,0.0
124,Perfect! Thank you!,1,1.0
125,"I love Bing's voice - in the age of crooners, he was the man.  This song takes me back (I'm not from that generation, but my imagination comes alive).  The lyrics are great as well; nice way to explain storms to a child.  Recommend for any Bing fan and to parents.",1,1.0
126,"So do I, especially after hearing these guys do it.  This is a pretty good cut from an old recording but it shimmys just enough.  This is a great old song.",1,1.0
127,"It never down loaded, don't know what else to say.",0,0.0
128,Very bad cover of this song.,0,0.0
129,"Where do I begin?
First off, I really, really, really wanted to like this album. After reading the stories and reviews I figured this was right up my alley. As a lover of all things pop and bubblegum, I thought this would be on an equal plane of the best Ohio Express, 1910 Fruitgum Co, Association, Archies, Patridge Family all rolled into one.
Alas, it is not to be.
There is nothing memorable here, nothing that will leave you humming the rest of the day. No hit singles to speak of. I've heard this was one of the most expensive albums made at the time. I think they tried and tried and tinkered over and over to perfect the sound and come up with a hit to no avail. The sound is fine, I have it on 180 gram vinyl. It's just the songs. They just sit there, with all their little background noises.
The only song I actually like is I'm With You. It sounds like the aforementioned Association crossed with The Partridge Family.
I've tried playing it over and over but nothing sticks. Not the song titles and not the cold, sterile tunes themselves.
It sounds bright and sunny but is hollow and empty beneath.",0,0.0
130,"This whole LP musically, is beautifully arranged...
If you love sunshine, baroque psychedelia,
then this is for you..
Recommended.",1,1.0
131,"Wrote the wrong review for Pieces, which I got at the same time as the cd for Begin.  My review of Begin under the Millenium Pieces cds said this was nice and clear, with a mix that was not as complicated as the vinyl I had over 40 years ago.  The Pieces cd is demos and works in progress that never made it to release.  Not as complicated but a simpler Begin (ing).  Both are good cds.",1,0.0
132,Love this song but waste of 1.29 it won't play or download to my phone!,0,1.0
133,"Luke Vibert's first release under his own name, A POLISHED SOLID, for the famed Mo Wax label, are three cuts of abstract hip-hop. The title track brings in some sax, but those disappear under layers of EQ sweeps and a looped sample saying, ""Oh, Christ."" Meanwhile, ""Radart"" sort of meanders in a pleasing way, and ""Frogs Belly"" lets loose the jazz, with a tinge of Wagon Christ cheekiness. An auspicious start.",1,1.0
134,"Beautiful, nostalgic work by George Shearing's Quartet and Orchestra!!",1,1.0
135,"I have just transcribed the original UK vinyl(which I have treasured all these years) to MP3 and I'm shocked to find Amazon selling such a travesty as a download. The pitch is noticeably lower and the tracks all run longer. ""Love Letters in the Sand"", for example, runs to 2'12"", not the 2'25"" Amazon claims. ""April Love"" lasts 2'39"", not 2'54"" - yes, that's how big the difference is. As the last reviewers says, if you're buying the CD, make sure it sounds better than these downloads. (My LP, by the way, includes all 14 tracks; I don't believe ""Capistrano"" and ""Louella"" were bonuses.)",0,1.0
136,"This CD is a British London Records version of the original mono ""Pat's Great Hits"" with 2 bonus tracks added - ""When The Swallows Come Back to Capistrano"" and ""Louella"". I used to have that LP, and the speed was quite correct. However, at least the Mp3 samples here at Amazon are awfully slow. So, before buying the CD, make sure it sounds at normal speed.  You can also look for the ""Greatest Hits"" CD which contains 8 original mono tracks from ""Pat's Great Hits"" plus other great songs. As for myself, I made a CDR compilation of all Pat Boone main original Dot Records albums from 2 box sets of the Bear Family ""Pat Boone, The 50's Complete"" and ""The Sixties, 1960-1962"".",0,0.0
137,"Pat was a pretty good singer in his day, and he made some really nice recordings.  But these downloads will need a little work to adjust the speed at which they play.  The Audacity program (free) should help bring the speed up to normal, but why should one have to jump through all those hoops?  At least these recordings are the orginal hits, and not Pat's absolutely HORRID re-recordings after his voice had really gone down the dumper.  It's very appropriate that ""Speedy Gonzales"" is not a part this set. I'd keep searching for something else if you don't want to run these tracks through an audio editor in order to make them listenable.",0,0.0
138,Good song,1,1.0
139,My wife loves this song,1,1.0
140,I just didn't enjoy this album. This album is a bit too much back-roads country for me to appreciate.,0,0.0
141,"You'll have to buy this to know what's in it. More than that, you'll have to buy it AND LISTEN TO IT to know what's in it. That's because there is no track list anywhere, not in the Amazon pages and not in the downloaded product. I know. I bought it thinking that the track list would surely appear in the downloaded clip. Wrong! All that you'll see there are the same misleading words that you see on Amazon's pages: ""See description for track details"". Fix this, Amazon. This is absurd. Why hide the track information from prospective buyers?",0,1.0
142,"I wake up in the middle of the night and put on public television to help me fall back to sleep - and that is where I first heard these guys.  They were so good, they woke me up!  Of course, I looked for their music on Amazon which is much less expensive than buying the premium packages on public tv.  I have both their cds.  I play them in my car and copied them onto my iphone. I also play the cd as background music when I have guests.  Their music is versatile and cheerful and energizing.  I really like the combination of piano and strings.  Their pieces include original music and variations of songs you'll recognize.  I like them enough that I am going to see them when they play in my area in the fall.  Enjoyable.  Upbeat.  Fun.",1,1.0
143,"Love the idea of this cd. But it's hard to understand the singers... Even after reading the lyrics I had a hard time picking out the names of the presidents and their wives in the songs... They should've slowed it down and made it more clear, and it may confuse some kids since a lot of the names are run the names together.",0,1.0
144,"Bought this for our 4 year old because it was recommended by her school. This CD stays on rotation in the car and is a popular request. Its very repetitive which I feel lends to increased memorization. Quite frankly, it drives me crazy, but she's committing the presidents to memory and she's four...I think I can deal with that!",1,1.0
145,"Listening to Bach cantatas sung in English is extremely annoying to me.  They should be sung in the original language which Bach intended.  Bach composed mainly from German texts, with rare exceptions such as Cantata #209, ""Non Sa Che Sia Dolore"".  Please do not try to ""improve"" the work of the greatest composer in history !",0,0.0
146,"I owned this album which I bought when I was a kid on LP.  I was excited to get a cleaned up digital version ... but this album and Volume 1 are messed up.  This was originally a 2 LP set with four sides, A, B, C, D.  Ragtime Special Volume 1 has sides A and C but for side C the titles of the songs are from side B.  (Got that?)  Volume 2 has side B but the titles are from side C.  I don't know what happened to side D.  Check out track 6 here ""Poor Butterfly"".  That's not it.  No idea how to contact Amazon support.  This is a good pair of albums if you want to get 3/4s of the songs and you're willing to rename them.",0,1.0
147,"Vocalion is a pretty neat label. They're re-issuing and rescuing some great tunes from the vinyl graveyard. I own several of their CDs. Love the music on this one, but it's got a very muffled sound. The volume setting is out of line with other songs in my WMP ""playlists"". So I have go turn up the volume then quickly turn it down again when the song is over. Be easier to nix it from my playlists, but then I'd never hear it.",0,1.0
148,Huh?,0,0.0
149,"When I recieved this LP,it didn't have the pink obi paper strip on it like it has in the picture that was next to the description. But other than that,I'm satisfied with the album. It plays well,and it was a good transaction. AAAA++++

From Cacilie",1,0.0
150,"Norman Luboff's arrangements of American music have been a delight to me since my high school days in the '50s, and are a large part of the reason I began composing and arranging songs myself about thirty years ago.  This disc is a terrible example of Luboff's work.  The tracks I was interested in hearing are of numbers that he arranged magnificently, and these are NOT those arrangements.",0,1.0
151,I only wanted  one  song by the  light of the silvery moon and you added a lot of other songs that i hate at my exspence and that  sucks!,0,0.0
152,"This music is amazing. I cannot believe that this group is not more popular. If you're thinking about buying their music, stop thinking and do it already! You won't regret it. Wish is one of my favorite songs....EVER. Love these guys!",1,1.0
153,"Giggles & laughter while singing some of these with my dad, not having a clue to the real meanings at the time.",1,1.0
154,I heard Siobhan McKenna do the soliloquy live and it was stunning.  The recording was too soft and often times I couldn't pick up what she was saying.  I was very disappointed.,0,0.0
155,"Many of us, I guess, associate Mrs. Ward with uptempo, revivalist tunes. Here she settles into a beautiful, affecting, rendition. Maybe the best I've ever heard/seen, on film-video. (Until someone locates footage of Little Richard's performance at Madison Square Garden, in 1972). :)",1,0.0
